	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
434	uc1.32106002020458	0.5853658536585367	1.0321788801522485	Waugh, Evelyn	Mr. Loveday's Little Outing, and Other Sad Stories	1936	Fiction-Stories	Male	White	Britain	47300
259	mdp.39015053611367	0.5850815850815857	1.9029162085983344	Wells, H. G.	The Research Magnificent	1915	Fiction-Novel	Male	White	Britain	134227
476	uc1.b3759970	0.584795321637427	1.0209978036031648	Wells, H. G.	Meanwhile: The Picture of a Lady	1927	Fiction-Novel	Male	White	Britain	99718
42	hvd.32044072024789	0.5833333333333329	0.48030734664792873	Huxley, Aldous	Limbo	1920	Fiction-Stories	Male	White	Britain	59501
369	pst.000032564228	0.5822784810126577	0.6357575701049587	Burnett, Frances Hodgston	Little Lord Fauntleroy	1886	Fiction-Novel	Female	White	Britain	73984
213	mdp.39015030719564	0.5806451612903224	1.0084824988558179	Wells, H. G.	The Bulpington of Blup	1932	Fiction-Novel	Male	White	Britain	146415
329	nyp.33433074946256	0.5802469135802469	1.296857443655079	Allen, Grant	Hilda Wade	1900	Fiction-Novel	Male	White	Other	111562
168	mdp.39015008988373	0.5802469135802469	1.131922030770689	Conrad, Joseph	Tales of Hearsay	1925	Fiction-Stories	Male	White	Europe	42606
379	pst.000051483654	0.5785714285714292	0.7682605978539089	Maugham, William Somerset	Theatre: A Novel	1937	Fiction-Novel	Male	White	Britain	108498
308	mdp.49015000993858	0.5783132530120497	1.4255171305316394	Maugham, William Somerset	Christmas Holiday	1939	Fiction-Novel	Male	White	Britain	103999
3	aeu.ark:/13960/t6d237w7x	0.5776397515527942	1.5916637459169247	Munro, Hector Hugh	When William Came	1913	Fiction-Novel	Male	White	South Asia	60225
11	coo.31924013536119	0.576190476190478	1.222879655715054	Bennett, Arnold	The Sinews of War: A Romance of London and the Sea	1906	Fiction-Novel	Male	White	Britain	102244
205	mdp.39015019950834	0.5750000000000003	0.922228916024446	Munro, Hector Hugh	Reginald in Russia, and Other Sketches	1910	Fiction-Stories	Male	White	South Asia	25824
251	mdp.39015048709714	0.574712643678162	0.2860243841641538	de la Mare, Walter	Memoirs of a Midget	1921	Fiction-Novel	Male	White	Britain	181100
188	mdp.39015013252823	0.5740740740740741	0.5613365696279538	Mansfield, Katherine	The Doves' Nest, and Other Stories	1923	Fiction-Stories	Female	White	Australasia	57276
138	mdp.39015003681916	0.5714285714285713	0.304926610864624	Galsworthy, John	A Motley	1910	Fiction-Stories	Male	White	Britain	54672
378	pst.000046763440	0.5704225352112676	1.7842253945831885	Kipling, Rudyard	Just So Stories	1902	Fiction-Stories	Male	White	South Asia	47385
