	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2765	Mawr, E. B.,	0.8	0.2035581452960729	1881.0	1	30459		Hathi
3366	Raven-Hill, L.	0.8	0.34871639750129835	1902.0	1	17780		Hathi
2819	Menpes, Mortimer,	0.8	1.3458167023167102	1906.0	1	9214		Hathi
282	Barsley, Michael.	0.8	4.481516116785749	1940.0	1	5534		Hathi
647	Cable, George Washington,	0.8	0.06243758985290412	1888.0	1	99302		Hathi
1458	Fraser, Grace Lovat.	0.8	0.5390521255062671	1940.0	1	11502		Hathi
675	Cantacuzène-Altieri, Olga,	0.8	0.09031708470004057	1894.0	1	68649		Hathi
159	Arndt, Ernst Moritz,	0.8	0.09360312727506583	1896.0	1	66239		Hathi
1287	Erauso, Catalina de,	0.8	0.1259584257186146	1908.0	1	49224		Hathi
1256	Elbe, Lili,	0.8	0.07296043242613656	1937.0	1	84980		Hathi
