	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2223	Johnson, Samuel,	6.0	1.0	1904.6666666666667	6	245304		Hathi
2115	Huxley, Aldous,	6.0	1.0	1925.8333333333333	6	648038		Hathi
4204	Wallace, Edgar,	6.0	1.0	1922.5	6	465083		Hathi
1730	Grimshaw, Beatrice Ethel.	6.0	1.0	1921.3333333333333	6	597460		Hathi
717	Castle, Agnes,	6.0	1.0	1912.3333333333333	6	585533		Hathi
957	Crommelin, May.	6.0	1.0	1887.3333333333333	6	296158		Hathi
2721	Marriott, Charles,	6.0	1.0	1909.0	6	597483		Hathi
1036	Davies, W. H.	6.0	1.0	1912.0	6	393203		Hathi
2802	McCarthy, Justin,	5.0	1.0	1896.6	5	668557		Hathi
512	Bramah, Ernest,	5.0	1.0	1919.8	5	447835		Hathi
3447	Richardson, Dorothy Miller,	5.0	1.0	1927.4	5	567205		Hathi
2745	Mason, A. E. W.	5.0	1.0	1901.6	5	539328		Hathi
449	Blundell, Peter.	5.0	1.0	1918.8	5	400449		Hathi
4210	Walpole, Hugh, Sir,	5.0	1.0	1927.0	5	712050		Hathi
2418	Lawless, Emily,	5.0	1.0	1899.4	5	435815		Hathi
3153	Paltock, Robert,	5.0	1.0	1905.8	5	776134		Hathi
2314	King, Charles,	5.0	1.0	1898.0	5	387515		Hathi
4251	Waugh, Edwin,	5.0	1.0	1888.8	5	552288		Hathi
1715	Grier, Sydney C.,	5.0	1.0	1910.6	5	635685		Hathi
4102	Trowbridge, W. R. H.	5.0	1.0	1906.8	5	502478		Hathi
3440	Rhys, Ernest,	5.0	1.0	1907.6	5	457903		Hathi
2443	Leacock, Stephen,	5.0	1.0	1918.2	5	287082		Hathi
2981	Murasaki Shikibu,	5.0	1.0	1928.8	5	586557		Hathi
330	Begbie, Harold,	5.0	1.0	1914.4	5	464900		Hathi
384	Betham-Edwards, Matilda,	5.0	1.0	1898.8	5	326622		Hathi
3471	Roberts, Charles G. D.,	5.0	1.0	1914.2	5	315736		Hathi
2446	Lean, Florence,	5.0	1.0	1884.2	5	246179		Hathi
1721	Griffith, George Chetwynd.	5.0	1.0	1899.8	5	577558		Hathi
878	Conyers, Dorothea,	5.0	1.0	1906.4	5	527379		Hathi
2776	Maud, Constance Elizabeth.	5.0	1.0	1899.4	5	368052		Hathi
3967	Tabor, Eliza.	5.0	1.0	1882.6	5	282218		Hathi
3640	Serao, Matilde,	5.0	1.0	1905.6	5	563241		Hathi
1543	Gautier, Théophile,	5.0	1.0	1904.8	5	567530		Hathi
690	Carlyle, Thomas,	5.0	1.0	1897.8	5	806259		Hathi
1176	Doyle, Arthur Conan, Sir,	5.0	1.0	1926.0	5	452297		Hathi
1623	Goldring, Douglas,	5.0	1.0	1921.2	5	393871		Hathi
4334	Willcocks, M. P.	5.0	1.0	1911.4	5	747608		Hathi
214	Bailey, H. C.	5.0	1.0	1906.4	5	430917		Hathi
3698	Sienkiewicz, Henryk,	5.0	1.0	1904.6	5	610310		Hathi
2886	Milne, A. A.	5.0	1.0	1913.0	5	369411		Hathi
1563	Gibbon, Perceval,	5.0	1.0	1919.4	5	551212		Hathi
2698	Mansfield, Katherine,	5.0	1.0	1927.6	5	250469		Hathi
1564	Gibbons, Stella,	5.0	1.0	1936.4	5	682171		Hathi
2894	Mitchison, Naomi,	5.0	1.0	1930.4	5	404976		Hathi
242	Banks, G. Linnaeus	5.0	1.0	1885.8	5	389985		Hathi
4347	Williamson, Henry,	5.0	1.0	1930.2	5	445435		Hathi
2514	Linklater, Eric,	5.0	1.0	1935.0	5	596936		Hathi
1147	Donovan, Dick,	5.0	1.0	1905.2	5	554970		Hathi
3673	Sherard, Robert Harborough,	5.0	1.0	1900.2	5	297558		Hathi
1042	Dawe, Carlton,	5.0	1.0	1901.8	5	349020		Hathi
3953	Swinnerton, Frank,	5.0	1.0	1922.6	5	609001		Hathi
1582	Gilchrist, Murray,	5.0	1.0	1900.2	5	282894		Hathi
1774	Hales, A. G.	5.0	1.0	1911.2	5	479954		Hathi
2541	London, Jack,	5.0	1.0	1911.8	5	377766		Hathi
