	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2514	Linklater, Eric,	420.578340733769	5.0	1935.0	5	596936		Hathi
1170	Downes, Carl Sawyer,	420.3805550287624	1.0	1937.0	1	126552		Hathi
1280	Elmhirst, Edward Pennell,	420.3730811094826	1.0	1892.0	1	239787		Hathi
4315	Whittier, John Greenleaf,	420.3549664160847	1.0	1888.0	1	134886		Hathi
849	Collins, George Ernest Patrick,	420.27496913900063	1.0	1934.0	1	106121		Hathi
3575	Salamon,	419.5449767232306	1.0	1911.0	1	106544		Hathi
1820	Harben, Henry Devenish,	419.41816883812305	1.0	1923.0	1	56030		Hathi
674	Candler, Edmund,	419.37484829687963	1.0	1912.0	1	74158		Hathi
1687	Greene,	419.2060881622642	1.0	1883.0	1	31011		Hathi
858	Colomb,	418.7977615981714	1.0	1882.0	1	83095		Hathi
953	Crofts, Freeman Wills,	418.5387395502618	1.0	1933.0	1	91031		Hathi
2843	Merezhkovsky, Dmitry Sergeyevich,	418.0321809557576	4.0	1916.0	4	563862		Hathi
440	Bloem, Walter,	417.810749165494	2.0	1922.0	2	209894		Hathi
272	Barr, Dennis.	417.72213561963946	1.0	1932.0	1	82112		Hathi
1959	Hill, George Birkbeck Norman,	417.63911067436453	1.0	1903.0	1	24423		Hathi
2323	Kingsley, Charles,	417.54381146714337	25.0	1893.76	25	4033952		Hathi
2207	Jerome, Jerome K.	417.3666347730018	6.0	1900.1666666666667	6	281785		Hathi
3178	Paton, Frank Hume Lyall	417.1946350443499	1.0	1903.0	1	83654		Hathi
4030	Thompson, Edward John,	417.056470298131	2.0	1929.0	2	113000		Hathi
3865	Stepniak, S.,	416.9461959780861	2.0	1883.0	2	150859		Hathi
2936	Moorehead, Warren King,	416.9375266189951	1.0	1891.0	1	89222		Hathi
116	Allen, Grant,	416.6400817641244	9.0	1890.888888888889	9	647303		Hathi
1434	Forsyth, Archibald.	416.4697867103284	1.0	1897.0	1	91003		Hathi
3836	Stanley, Jane,	416.1849710982665	1.0	1888.0	1	64875		Hathi
